distrito,unidade,classe,apresentacao,tipo_produto,codigo_produto,produto,cadum,quantidade
2,Us 132 Distrito Sanitario II Recife                                                                 ,AGENTE ALCALINIZANTE                                                                                ,AMP                                                    ,MEDICAMENTOS                                      ,10028,BICARBONATO DE SODIO 10% SOLUCAO INJETAVEL - 10ML                                                                                                                                                                                                         ,30004,0,0
2,Us 132 Distrito Sanitario II Recife                                                                 ,AGENTE ANTIRESSORTIVO                                                                               ,COMPR                                                  ,MEDICAMENTOS                                      ,10651,ALENDRONATO DE SODIO 70MG                                                                                                                                                                                                                                 ,30068,100,0
2,Us 132 Distrito Sanitario II Recife                                                                 ,AGENTE URICOSÚRICO                                                                                  ,COMPR                                                  ,MEDICAMENTOS                                      ,10669,ALOPURINOL 300MG                                                                                                                                                                                                                                          ,30069,900,0
2,Us 132 Distrito Sanitario II Recife                                                                 ,AINE                                                                                                ,AMP                                                    ,MEDICAMENTOS                                      ,10057,CETOPROFENO 50MG/ML SOLUCAO INJETAVEL - 2ML                                                                                                                                                                                                               ,30048,4,0
2,Us 132 Distrito Sanitario II Recife                                                                 ,AINE/ ANTICOAGULANTE                                                                                ,COMPR                                                  ,MEDICAMENTOS                                      ,10003,ACIDO ACETILSALICILICO 100MG                                                                                                                                                                                                                              ,30064,3760,0
2,Us 132 Distrito Sanitario II Recife                                                                 ,ANALGÉSICO/ ANTIPIRÉTICO                                                                            ,AMP                                                    ,MEDICAMENTOS                                      ,10111,DIPIRONA 500MG/ML SOLUCAO INJETAVEL - 2ML                                                                                                                                                                                                                 ,30099,15,0
2,Us 132 Distrito Sanitario II Recife                                                                 ,ANALGÉSICO/ ANTIPIRÉTICO                                                                            ,COMPR                                                  ,MEDICAMENTOS                                      ,10110,DIPIRONA 500MG                                                                                                                                                                                                                                            ,30219,880,0
2,Us 132 Distrito Sanitario II Recife                                                                 ,ANALGÉSICO/ ANTIPIRÉTICO                                                                            ,COMPR                                                  ,MEDICAMENTOS                                      ,10608,IBUPROFENO 600MG                                                                                                                                                                                                                                          ,30119,850,0
2,Us 132 Distrito Sanitario II Recife                                                                 ,ANALGÉSICO/ ANTIPIRÉTICO                                                                            ,COMPR                                                  ,MEDICAMENTOS                                      ,10673,PARACETAMOL 500MG                                                                                                                                                                                                                                         ,30138,790,0
2,Us 132 Distrito Sanitario II Recife                                                                 ,ANALGÉSICO/ ANTIPIRÉTICO                                                                            ,FRASCO                                                 ,MEDICAMENTOS                                      ,10109,DIPIRONA 500MG/ML SOLUCAO ORAL - 10ML                                                                                                                                                                                                                     ,30175,19,0
2,Us 132 Distrito Sanitario II Recife                                                                 ,ANALGÉSICO/ ANTIPIRÉTICO                                                                            ,FRASCO                                                 ,MEDICAMENTOS                                      ,10245,PARACETAMOL 200MG/ML SOLUCAO ORAL - 15ML                                                                                                                                                                                                                  ,30139,42,0
2,Us 132 Distrito Sanitario II Recife                                                                 ,ANALGÉSICO/ ANTIPIRÉTICO                                                                            ,FRASCO                                                 ,MEDICAMENTOS                                      ,10827,IBUPROFENO 50MG/ML SUSPENSAO ORAL - 30ML                                                                                                                                                                                                                  ,41434,50,0
2,Us 132 Distrito Sanitario II Recife                                                                 ,ANESTÉSICO LOCAL                                                                                    ,AMP                                                    ,MEDICAMENTOS                                      ,10408,LIDOCAINA 2% S/ VASOCONSTRICTOR SOLUCAO INJETAVEL - 5ML                                                                                                                                                                                                   ,30281,6,0
2,Us 132 Distrito Sanitario II Recife                                                                 ,ANESTÉSICO LOCAL                                                                                    ,BISN.                                                  ,MEDICAMENTOS                                      ,10202,LIDOCAINA 2% GEL TOPICO - 30G                                                                                                                                                                                                                             ,30127,18,0
2,Us 132 Distrito Sanitario II Recife                                                                 ,ANESTÉSICO LOCAL                                                                                    ,FR/AMP                                                 ,MEDICAMENTOS                                      ,10207,LIDOCAINA 2% SEM VASOCONSTRICTOR SOLUCAO INJETAVEL - 20ML                                                                                                                                                                                                 ,30213,0,0
2,Us 132 Distrito Sanitario II Recife                                                                 ,ANSIOLÍTICO (BENZODIAZEPÍNICO)                                                                      ,AMP                                                    ,MEDICAMENTOS                                      ,10097,DIAZEPAM 5MG/ML SOLUCAO INJETAVEL - 2ML                                                                                                                                                                                                                   ,30218,8,0
2,Us 132 Distrito Sanitario II Recife                                                                 ,ANSIOLÍTICO (BENZODIAZEPÍNICO)                                                                      ,COMPR                                                  ,MEDICAMENTOS                                      ,10096,DIAZEPAM 10MG                                                                                                                                                                                                                                             ,30217,0,0
2,Us 132 Distrito Sanitario II Recife                                                                 ,ANTIÁCIDO                                                                                           ,FRASCO                                                 ,MEDICAMENTOS                                      ,10175,HIDROXIDO DE ALUMINIO 60MG/ML SUSPENSAO ORAL - 100ML                                                                                                                                                                                                      ,13868,290,0
2,Us 132 Distrito Sanitario II Recife                                                                 ,ANTIALÉRGICO (ANTI-HISTAMÍNICO                                                                      ,AMP                                                    ,MEDICAMENTOS                                      ,10265,PROMETAZINA 25MG/ML SOLUCAO INJETAVEL - 2ML                                                                                                                                                                                                               ,30146,10,0
2,Us 132 Distrito Sanitario II Recife                                                                 ,ANTIALÉRGICO (ANTI-HISTAMÍNICO                                                                      ,COMPR                                                  ,MEDICAMENTOS                                      ,10264,PROMETAZINA 25MG                                                                                                                                                                                                                                          ,30310,280,0
2,Us 132 Distrito Sanitario II Recife                                                                 ,ANTIALÉRGICO (ANTI-HISTAMÍNICO                                                                      ,COMPR                                                  ,MEDICAMENTOS                                      ,10831,LORATADINA 10MG                                                                                                                                                                                                                                           ,39589,4840,0
2,Us 132 Distrito Sanitario II Recife                                                                 ,ANTIALÉRGICO (ANTI-HISTAMÍNICO                                                                      ,FRASCO                                                 ,MEDICAMENTOS                                      ,10095,DEXCLORFENIRAMINA 2MG/5ML SOLUCAO ORAL - 100ML                                                                                                                                                                                                            ,30097,105,0
2,Us 132 Distrito Sanitario II Recife                                                                 ,ANTIALÉRGICO (ANTI-HISTAMÍNICO                                                                      ,FRASCO                                                 ,MEDICAMENTOS                                      ,10832,LORATADINA 1MG/ML SOLUCAO ORAL - 100ML                                                                                                                                                                                                                    ,39588,130,0
2,Us 132 Distrito Sanitario II Recife                                                                 ,ANTIANÊMICO                                                                                         ,COMPR                                                  ,MEDICAMENTOS                                      ,10006,ACIDO FOLICO 5MG                                                                                                                                                                                                                                          ,30065,100,0
2,Us 132 Distrito Sanitario II Recife                                                                 ,ANTIANÊMICO                                                                                         ,COMPR                                                  ,MEDICAMENTOS                                      ,10290,SULFATO FERROSO 40MG                                                                                                                                                                                                                                      ,30158,0,0
2,Us 132 Distrito Sanitario II Recife                                                                 ,ANTIANÊMICO                                                                                         ,COMPR                                                  ,MEDICAMENTOS                                      ,10447,ACIDO FOLINICO 15MG                                                                                                                                                                                                                                       ,43725,0,0
2,Us 132 Distrito Sanitario II Recife                                                                 ,ANTIANÊMICO                                                                                         ,FRASCO                                                 ,MEDICAMENTOS                                      ,10289,SULFATO FERROSO 25MG/ML SOLUCAO ORAL - 30ML                                                                                                                                                                                                               ,30159,80,0
2,Us 132 Distrito Sanitario II Recife                                                                 ,ANTIARRÍTMICO                                                                                       ,AMP                                                    ,MEDICAMENTOS                                      ,10015,AMIODARONA 50MG/ML - 3ML                                                                                                                                                                                                                                  ,30000,0,0
2,Us 132 Distrito Sanitario II Recife                                                                 ,ANTIARRÍTMICO                                                                                       ,COMPR                                                  ,MEDICAMENTOS                                      ,10016,AMIODARONA 200MG                                                                                                                                                                                                                                          ,30070,150,0
2,Us 132 Distrito Sanitario II Recife                                                                 ,ANTIARRÍTMICO                                                                                       ,COMPR                                                  ,MEDICAMENTOS                                      ,10305,VERAPAMIL 80MG                                                                                                                                                                                                                                            ,30164,600,0
2,Us 132 Distrito Sanitario II Recife                                                                 ,ANTIASMÁTICO (CORTICOSTERÓIDE)                                                                      ,FRASCO                                                 ,MEDICAMENTOS                                      ,10072,"BECLOMETASONA 200MCG/DOSE, AEROSSOL ORAL SPRAY - 200 DOSES                                                                                                                                                                                                ",43022,175,0
2,Us 132 Distrito Sanitario II Recife                                                                 ,ANTIASMÁTICO (CORTICOSTERÓIDE)                                                                      ,FRASCO                                                 ,MEDICAMENTOS                                      ,10332,BECLOMETASONA 50MCG/DOSE AEROSSOL NASAL AQUOSO SPRAY - 200 DOSES                                                                                                                                                                                          ,31782,0,0
2,Us 132 Distrito Sanitario II Recife                                                                 ,ANTIASMÁTICO (CORTICOSTERÓIDE)                                                                      ,FRASCO                                                 ,MEDICAMENTOS                                      ,10605,BUDESONIDA 32MCG/DOSE SOLUCAO NASAL - 120 DOSES                                                                                                                                                                                                           ,30082,120,0
2,Us 132 Distrito Sanitario II Recife                                                                 ,ANTIASMÁTICO (CORTICOSTERÓIDE)                                                                      ,FRASCO                                                 ,MEDICAMENTOS                                      ,10606,BUDESONIDA 64MCG/DOSE SOLUCAO NASAL - 120 DOSES                                                                                                                                                                                                           ,30013,95,0
2,Us 132 Distrito Sanitario II Recife                                                                 ,ANTIBIÓTICO                                                                                         ,FRASCO                                                 ,MEDICAMENTOS                                      ,30307,HIDROCORTISONA 10MG/ML + POLIMIXINA B 10.000UI/ML + NEOMICINA 5MG/ML SUSPENSAO OTOLOGICA - 10ML                                                                                                                                                           ,30205,9,0
2,Us 132 Distrito Sanitario II Recife                                                                 ,ANTIBIÓTICO      (CEFALOSPORINA 1ªG)                                                                ,COMPR                                                  ,MEDICAMENTOS                                      ,10049,CEFALEXINA 500MG                                                                                                                                                                                                                                          ,30090,0,0
2,Us 132 Distrito Sanitario II Recife                                                                 ,ANTIBIÓTICO      (CEFALOSPORINA 1ªG)                                                                ,FR/AMP                                                 ,MEDICAMENTOS                                      ,10050,CEFALOTINA 1G IM/IV                                                                                                                                                                                                                                       ,51313,0,0
2,Us 132 Distrito Sanitario II Recife                                                                 ,ANTIBIÓTICO      (CEFALOSPORINA 1ªG)                                                                ,FRASCO                                                 ,MEDICAMENTOS                                      ,10048,CEFALEXINA 250MG/5ML PO PARA SUSPENSAO ORAL - 100ML                                                                                                                                                                                                       ,30089,40,0
2,Us 132 Distrito Sanitario II Recife                                                                 ,ANTIBIÓTICO      (CEFALOSPORINA 3ªG)                                                                ,FR/AMP                                                 ,MEDICAMENTOS                                      ,10053,CEFTRIAXONA 1G PO PARA SOLUCAO INJETAVEL IV/IM                                                                                                                                                                                                            ,51314,0,0
2,Us 132 Distrito Sanitario II Recife                                                                 ,ANTIBIÓTICO (MACROLÍDEO)                                                                            ,COMPR                                                  ,MEDICAMENTOS                                      ,10370,AZITROMICINA 500MG                                                                                                                                                                                                                                        ,30078,140,0
2,Us 132 Distrito Sanitario II Recife                                                                 ,ANTIBIÓTICO (MACROLÍDEO)                                                                            ,COMPR                                                  ,MEDICAMENTOS                                      ,10544,CLARITROMICINA 500MG                                                                                                                                                                                                                                      ,30325,300,0
