distrito,unidade,classe,apresentacao,tipo_produto,codigo_produto,produto,cadum,quantidade
5,Us 117 Usf Gaspar Regueira Costa                                                                    ,AGENTE ANTIRESSORTIVO                                                                               ,COMPR                                                  ,MEDICAMENTOS                                      ,10651,ALENDRONATO DE SODIO 70MG                                                                                                                                                                                                                                 ,30068,270,0
5,Us 117 Usf Gaspar Regueira Costa                                                                    ,AGENTE URICOSÚRICO                                                                                  ,COMPR                                                  ,MEDICAMENTOS                                      ,10669,ALOPURINOL 300MG                                                                                                                                                                                                                                          ,30069,40,0
5,Us 117 Usf Gaspar Regueira Costa                                                                    ,AINE                                                                                                ,AMP                                                    ,MEDICAMENTOS                                      ,10057,CETOPROFENO 50MG/ML SOLUCAO INJETAVEL - 2ML                                                                                                                                                                                                               ,30048,13,0
5,Us 117 Usf Gaspar Regueira Costa                                                                    ,AINE/ ANTICOAGULANTE                                                                                ,COMPR                                                  ,MEDICAMENTOS                                      ,10003,ACIDO ACETILSALICILICO 100MG                                                                                                                                                                                                                              ,30064,10880,0
5,Us 117 Usf Gaspar Regueira Costa                                                                    ,ANALGÉSICO/ ANTIPIRÉTICO                                                                            ,AMP                                                    ,MEDICAMENTOS                                      ,10111,DIPIRONA 500MG/ML SOLUCAO INJETAVEL - 2ML                                                                                                                                                                                                                 ,30099,8,0
5,Us 117 Usf Gaspar Regueira Costa                                                                    ,ANALGÉSICO/ ANTIPIRÉTICO                                                                            ,COMPR                                                  ,MEDICAMENTOS                                      ,10110,DIPIRONA 500MG                                                                                                                                                                                                                                            ,30219,1078,0
5,Us 117 Usf Gaspar Regueira Costa                                                                    ,ANALGÉSICO/ ANTIPIRÉTICO                                                                            ,COMPR                                                  ,MEDICAMENTOS                                      ,10608,IBUPROFENO 600MG                                                                                                                                                                                                                                          ,30119,2075,0
5,Us 117 Usf Gaspar Regueira Costa                                                                    ,ANALGÉSICO/ ANTIPIRÉTICO                                                                            ,COMPR                                                  ,MEDICAMENTOS                                      ,10673,PARACETAMOL 500MG                                                                                                                                                                                                                                         ,30138,567,0
5,Us 117 Usf Gaspar Regueira Costa                                                                    ,ANALGÉSICO/ ANTIPIRÉTICO                                                                            ,FRASCO                                                 ,MEDICAMENTOS                                      ,10109,DIPIRONA 500MG/ML SOLUCAO ORAL - 10ML                                                                                                                                                                                                                     ,30175,65,0
5,Us 117 Usf Gaspar Regueira Costa                                                                    ,ANALGÉSICO/ ANTIPIRÉTICO                                                                            ,FRASCO                                                 ,MEDICAMENTOS                                      ,10245,PARACETAMOL 200MG/ML SOLUCAO ORAL - 15ML                                                                                                                                                                                                                  ,30139,38,0
