distrito,unidade,classe,apresentacao,tipo_produto,codigo_produto,produto,cadum,quantidade
3,HOSPITAL AGAMENON MAGALHAES                                                                         ,AGENTE ANTIRESSORTIVO                                                                               ,COMPR                                                  ,MEDICAMENTOS                                      ,10651,ALENDRONATO DE SODIO 70MG                                                                                                                                                                                                                                 ,30068,0,0
3,HOSPITAL AGAMENON MAGALHAES                                                                         ,AGENTE URICOSÚRICO                                                                                  ,COMPR                                                  ,MEDICAMENTOS                                      ,10669,ALOPURINOL 300MG                                                                                                                                                                                                                                          ,30069,0,0
3,HOSPITAL AGAMENON MAGALHAES                                                                         ,AINE                                                                                                ,AMP                                                    ,MEDICAMENTOS                                      ,10057,CETOPROFENO 50MG/ML SOLUCAO INJETAVEL - 2ML                                                                                                                                                                                                               ,30048,0,0
3,HOSPITAL AGAMENON MAGALHAES                                                                         ,AINE/ ANTICOAGULANTE                                                                                ,COMPR                                                  ,MEDICAMENTOS                                      ,10003,ACIDO ACETILSALICILICO 100MG                                                                                                                                                                                                                              ,30064,0,0
3,HOSPITAL AGAMENON MAGALHAES                                                                         ,ANALGÉSICO/ ANTIPIRÉTICO                                                                            ,COMPR                                                  ,MEDICAMENTOS                                      ,10110,DIPIRONA 500MG                                                                                                                                                                                                                                            ,30219,0,0
3,HOSPITAL AGAMENON MAGALHAES                                                                         ,ANALGÉSICO/ ANTIPIRÉTICO                                                                            ,COMPR                                                  ,MEDICAMENTOS                                      ,10673,PARACETAMOL 500MG                                                                                                                                                                                                                                         ,30138,0,0
3,HOSPITAL AGAMENON MAGALHAES                                                                         ,ANALGÉSICO/ ANTIPIRÉTICO                                                                            ,FRASCO                                                 ,MEDICAMENTOS                                      ,10109,DIPIRONA 500MG/ML SOLUCAO ORAL - 10ML                                                                                                                                                                                                                     ,30175,0,0
3,HOSPITAL AGAMENON MAGALHAES                                                                         ,ANALGÉSICO/ ANTIPIRÉTICO                                                                            ,FRASCO                                                 ,MEDICAMENTOS                                      ,10827,IBUPROFENO 50MG/ML SUSPENSAO ORAL - 30ML                                                                                                                                                                                                                  ,41434,0,0
3,HOSPITAL AGAMENON MAGALHAES                                                                         ,ANALGÉSICO OPIÓIDE                                                                                  ,AMP                                                    ,MEDICAMENTOS                                      ,10231,"MORFINA 0,2MG/ML SOLUCAO INJETAVEL- 1ML                                                                                                                                                                                                                   ",30290,0,0
3,HOSPITAL AGAMENON MAGALHAES                                                                         ,ANALGÉSICO OPIÓIDE                                                                                  ,COMPR                                                  ,MEDICAMENTOS                                      ,10717,CODEINA 30MG + PARACETAMOL 500MG                                                                                                                                                                                                                          ,21564,0,0
3,HOSPITAL AGAMENON MAGALHAES                                                                         ,ANESTÉSICO LOCAL                                                                                    ,FR/AMP                                                 ,MEDICAMENTOS                                      ,10044,"BUPIVACAINA 0,50% + GLICOSE 8% (PESADA) - 4ML                                                                                                                                                                                                             ",30020,0,0
3,HOSPITAL AGAMENON MAGALHAES                                                                         ,ANSIOLÍTICO (BENZODIAZEPÍNICO)                                                                      ,AMP                                                    ,MEDICAMENTOS                                      ,10097,DIAZEPAM 5MG/ML SOLUCAO INJETAVEL - 2ML                                                                                                                                                                                                                   ,30218,0,0
