distrito,unidade,classe,apresentacao,tipo_produto,codigo_produto,produto,cadum,quantidade
1,Us 101 Policlinica Prof Waldemar de Oliveira                                                        ,AGENTE ALCALINIZANTE                                                                                ,AMP                                                    ,MEDICAMENTOS                                      ,10028,BICARBONATO DE SODIO 10% SOLUCAO INJETAVEL - 10ML                                                                                                                                                                                                         ,30004,0,0
1,Us 101 Policlinica Prof Waldemar de Oliveira                                                        ,AGENTE ANTIRESSORTIVO                                                                               ,COMPR                                                  ,MEDICAMENTOS                                      ,10651,ALENDRONATO DE SODIO 70MG                                                                                                                                                                                                                                 ,30068,935,0
1,Us 101 Policlinica Prof Waldemar de Oliveira                                                        ,AGENTE URICOSÚRICO                                                                                  ,COMPR                                                  ,MEDICAMENTOS                                      ,10669,ALOPURINOL 300MG                                                                                                                                                                                                                                          ,30069,1510,0
1,Us 101 Policlinica Prof Waldemar de Oliveira                                                        ,AINE                                                                                                ,AMP                                                    ,MEDICAMENTOS                                      ,10057,CETOPROFENO 50MG/ML SOLUCAO INJETAVEL - 2ML                                                                                                                                                                                                               ,30048,5,0
1,Us 101 Policlinica Prof Waldemar de Oliveira                                                        ,AINE/ ANTICOAGULANTE                                                                                ,COMPR                                                  ,MEDICAMENTOS                                      ,10003,ACIDO ACETILSALICILICO 100MG                                                                                                                                                                                                                              ,30064,2654,0
1,Us 101 Policlinica Prof Waldemar de Oliveira                                                        ,ANALGÉSICO/ ANTIPIRÉTICO                                                                            ,AMP                                                    ,MEDICAMENTOS                                      ,10111,DIPIRONA 500MG/ML SOLUCAO INJETAVEL - 2ML                                                                                                                                                                                                                 ,30099,14,0
1,Us 101 Policlinica Prof Waldemar de Oliveira                                                        ,ANALGÉSICO/ ANTIPIRÉTICO                                                                            ,COMPR                                                  ,MEDICAMENTOS                                      ,10110,DIPIRONA 500MG                                                                                                                                                                                                                                            ,30219,6892,0
1,Us 101 Policlinica Prof Waldemar de Oliveira                                                        ,ANALGÉSICO/ ANTIPIRÉTICO                                                                            ,COMPR                                                  ,MEDICAMENTOS                                      ,10608,IBUPROFENO 600MG                                                                                                                                                                                                                                          ,30119,539,0
1,Us 101 Policlinica Prof Waldemar de Oliveira                                                        ,ANALGÉSICO/ ANTIPIRÉTICO                                                                            ,COMPR                                                  ,MEDICAMENTOS                                      ,10673,PARACETAMOL 500MG                                                                                                                                                                                                                                         ,30138,1980,0
1,Us 101 Policlinica Prof Waldemar de Oliveira                                                        ,ANALGÉSICO/ ANTIPIRÉTICO                                                                            ,FRASCO                                                 ,MEDICAMENTOS                                      ,10109,DIPIRONA 500MG/ML SOLUCAO ORAL - 10ML                                                                                                                                                                                                                     ,30175,41,0
1,Us 101 Policlinica Prof Waldemar de Oliveira                                                        ,ANALGÉSICO/ ANTIPIRÉTICO                                                                            ,FRASCO                                                 ,MEDICAMENTOS                                      ,10245,PARACETAMOL 200MG/ML SOLUCAO ORAL - 15ML                                                                                                                                                                                                                  ,30139,31,0
