distrito,unidade,classe,apresentacao,tipo_produto,codigo_produto,produto,cadum,quantidade
4,Us 106 CS Prof Joaquim Cavalcante                                                                   ,AGENTE ANTIRESSORTIVO                                                                               ,COMPR                                                  ,MEDICAMENTOS                                      ,10651,ALENDRONATO DE SODIO 70MG                                                                                                                                                                                                                                 ,30068,303,0
4,Us 106 CS Prof Joaquim Cavalcante                                                                   ,AGENTE URICOSÚRICO                                                                                  ,COMPR                                                  ,MEDICAMENTOS                                      ,10669,ALOPURINOL 300MG                                                                                                                                                                                                                                          ,30069,145,0
4,Us 106 CS Prof Joaquim Cavalcante                                                                   ,AINE                                                                                                ,AMP                                                    ,MEDICAMENTOS                                      ,10057,CETOPROFENO 50MG/ML SOLUCAO INJETAVEL - 2ML                                                                                                                                                                                                               ,30048,0,0
4,Us 106 CS Prof Joaquim Cavalcante                                                                   ,AINE/ ANTICOAGULANTE                                                                                ,COMPR                                                  ,MEDICAMENTOS                                      ,10003,ACIDO ACETILSALICILICO 100MG                                                                                                                                                                                                                              ,30064,8127,0
4,Us 106 CS Prof Joaquim Cavalcante                                                                   ,ANALGÉSICO/ ANTIPIRÉTICO                                                                            ,AMP                                                    ,MEDICAMENTOS                                      ,10111,DIPIRONA 500MG/ML SOLUCAO INJETAVEL - 2ML                                                                                                                                                                                                                 ,30099,0,0
4,Us 106 CS Prof Joaquim Cavalcante                                                                   ,ANALGÉSICO/ ANTIPIRÉTICO                                                                            ,COMPR                                                  ,MEDICAMENTOS                                      ,10110,DIPIRONA 500MG                                                                                                                                                                                                                                            ,30219,3924,0
4,Us 106 CS Prof Joaquim Cavalcante                                                                   ,ANALGÉSICO/ ANTIPIRÉTICO                                                                            ,COMPR                                                  ,MEDICAMENTOS                                      ,10608,IBUPROFENO 600MG                                                                                                                                                                                                                                          ,30119,317,0
4,Us 106 CS Prof Joaquim Cavalcante                                                                   ,ANALGÉSICO/ ANTIPIRÉTICO                                                                            ,COMPR                                                  ,MEDICAMENTOS                                      ,10673,PARACETAMOL 500MG                                                                                                                                                                                                                                         ,30138,1704,0
4,Us 106 CS Prof Joaquim Cavalcante                                                                   ,ANALGÉSICO/ ANTIPIRÉTICO                                                                            ,FRASCO                                                 ,MEDICAMENTOS                                      ,10109,DIPIRONA 500MG/ML SOLUCAO ORAL - 10ML                                                                                                                                                                                                                     ,30175,41,0
4,Us 106 CS Prof Joaquim Cavalcante                                                                   ,ANALGÉSICO/ ANTIPIRÉTICO                                                                            ,FRASCO                                                 ,MEDICAMENTOS                                      ,10245,PARACETAMOL 200MG/ML SOLUCAO ORAL - 15ML                                                                                                                                                                                                                  ,30139,8,0
4,Us 106 CS Prof Joaquim Cavalcante                                                                   ,ANALGÉSICO/ ANTIPIRÉTICO                                                                            ,FRASCO                                                 ,MEDICAMENTOS                                      ,10827,IBUPROFENO 50MG/ML SUSPENSAO ORAL - 30ML                                                                                                                                                                                                                  ,41434,11,0
4,Us 106 CS Prof Joaquim Cavalcante                                                                   ,ANALGÉSICO OPIÓIDE                                                                                  ,COMPR                                                  ,MEDICAMENTOS                                      ,10717,CODEINA 30MG + PARACETAMOL 500MG                                                                                                                                                                                                                          ,21564,0,0
4,Us 106 CS Prof Joaquim Cavalcante                                                                   ,ANALGÉSICO OPIÓIDE                                                                                  ,COMPR                                                  ,MEDICAMENTOS                                      ,10898,TRAMADOL 50MG                                                                                                                                                                                                                                             ,27947,3009,0
4,Us 106 CS Prof Joaquim Cavalcante                                                                   ,ANESTÉSICO LOCAL                                                                                    ,AMP                                                    ,MEDICAMENTOS                                      ,10408,LIDOCAINA 2% S/ VASOCONSTRICTOR SOLUCAO INJETAVEL - 5ML                                                                                                                                                                                                   ,30281,3,0
4,Us 106 CS Prof Joaquim Cavalcante                                                                   ,ANESTÉSICO LOCAL                                                                                    ,BISN.                                                  ,MEDICAMENTOS                                      ,10202,LIDOCAINA 2% GEL TOPICO - 30G                                                                                                                                                                                                                             ,30127,10,0
4,Us 106 CS Prof Joaquim Cavalcante                                                                   ,ANSIOLÍTICO (BENZODIAZEPÍNICO)                                                                      ,AMP                                                    ,MEDICAMENTOS                                      ,10097,DIAZEPAM 5MG/ML SOLUCAO INJETAVEL - 2ML                                                                                                                                                                                                                   ,30218,2,0
4,Us 106 CS Prof Joaquim Cavalcante                                                                   ,ANSIOLÍTICO (BENZODIAZEPÍNICO)                                                                      ,COMPR                                                  ,MEDICAMENTOS                                      ,10096,DIAZEPAM 10MG                                                                                                                                                                                                                                             ,30217,7720,0
4,Us 106 CS Prof Joaquim Cavalcante                                                                   ,ANSIOLÍTICO (BENZODIAZEPÍNICO)                                                                      ,COMPR                                                  ,MEDICAMENTOS                                      ,10548,CLONAZEPAM 2MG                                                                                                                                                                                                                                            ,30196,26726,0
