distrito,unidade,classe,apresentacao,tipo_produto,codigo_produto,produto,cadum,quantidade
6,Us 126 CS Ver Romildo Gomes                                                                         ,AGENTE ANTIRESSORTIVO                                                                               ,COMPR                                                  ,MEDICAMENTOS                                      ,10651,ALENDRONATO DE SODIO 70MG                                                                                                                                                                                                                                 ,30068,56,0
6,Us 126 CS Ver Romildo Gomes                                                                         ,AGENTE URICOSÚRICO                                                                                  ,COMPR                                                  ,MEDICAMENTOS                                      ,10669,ALOPURINOL 300MG                                                                                                                                                                                                                                          ,30069,240,0
6,Us 126 CS Ver Romildo Gomes                                                                         ,AINE                                                                                                ,AMP                                                    ,MEDICAMENTOS                                      ,10057,CETOPROFENO 50MG/ML SOLUCAO INJETAVEL - 2ML                                                                                                                                                                                                               ,30048,11,0
6,Us 126 CS Ver Romildo Gomes                                                                         ,AINE/ ANTICOAGULANTE                                                                                ,COMPR                                                  ,MEDICAMENTOS                                      ,10003,ACIDO ACETILSALICILICO 100MG                                                                                                                                                                                                                              ,30064,5900,0
6,Us 126 CS Ver Romildo Gomes                                                                         ,ANALGÉSICO/ ANTIPIRÉTICO                                                                            ,AMP                                                    ,MEDICAMENTOS                                      ,10111,DIPIRONA 500MG/ML SOLUCAO INJETAVEL - 2ML                                                                                                                                                                                                                 ,30099,8,0
6,Us 126 CS Ver Romildo Gomes                                                                         ,ANALGÉSICO/ ANTIPIRÉTICO                                                                            ,COMPR                                                  ,MEDICAMENTOS                                      ,10110,DIPIRONA 500MG                                                                                                                                                                                                                                            ,30219,185,0
6,Us 126 CS Ver Romildo Gomes                                                                         ,ANALGÉSICO/ ANTIPIRÉTICO                                                                            ,COMPR                                                  ,MEDICAMENTOS                                      ,10608,IBUPROFENO 600MG                                                                                                                                                                                                                                          ,30119,516,0
6,Us 126 CS Ver Romildo Gomes                                                                         ,ANALGÉSICO/ ANTIPIRÉTICO                                                                            ,COMPR                                                  ,MEDICAMENTOS                                      ,10673,PARACETAMOL 500MG                                                                                                                                                                                                                                         ,30138,100,0
6,Us 126 CS Ver Romildo Gomes                                                                         ,ANALGÉSICO/ ANTIPIRÉTICO                                                                            ,FRASCO                                                 ,MEDICAMENTOS                                      ,10109,DIPIRONA 500MG/ML SOLUCAO ORAL - 10ML                                                                                                                                                                                                                     ,30175,74,0
6,Us 126 CS Ver Romildo Gomes                                                                         ,ANALGÉSICO/ ANTIPIRÉTICO                                                                            ,FRASCO                                                 ,MEDICAMENTOS                                      ,10245,PARACETAMOL 200MG/ML SOLUCAO ORAL - 15ML                                                                                                                                                                                                                  ,30139,53,0
6,Us 126 CS Ver Romildo Gomes                                                                         ,ANALGÉSICO/ ANTIPIRÉTICO                                                                            ,FRASCO                                                 ,MEDICAMENTOS                                      ,10827,IBUPROFENO 50MG/ML SUSPENSAO ORAL - 30ML                                                                                                                                                                                                                  ,41434,14,0
6,Us 126 CS Ver Romildo Gomes                                                                         ,ANALGÉSICO OPIÓIDE                                                                                  ,COMPR                                                  ,MEDICAMENTOS                                      ,10717,CODEINA 30MG + PARACETAMOL 500MG                                                                                                                                                                                                                          ,21564,0,0
6,Us 126 CS Ver Romildo Gomes                                                                         ,ANALGÉSICO OPIÓIDE                                                                                  ,COMPR                                                  ,MEDICAMENTOS                                      ,10898,TRAMADOL 50MG                                                                                                                                                                                                                                             ,27947,0,0
6,Us 126 CS Ver Romildo Gomes                                                                         ,ANESTÉSICO                                                                                          ,AMP                                                    ,MEDICAMENTOS                                      ,10266,PROPOFOL 10MG/ML EMULSAO INJETAVEL - 20ML                                                                                                                                                                                                                 ,30251,0,0
6,Us 126 CS Ver Romildo Gomes                                                                         ,ANESTÉSICO LOCAL                                                                                    ,AMP                                                    ,MEDICAMENTOS                                      ,10408,LIDOCAINA 2% S/ VASOCONSTRICTOR SOLUCAO INJETAVEL - 5ML                                                                                                                                                                                                   ,30281,21,0
6,Us 126 CS Ver Romildo Gomes                                                                         ,ANESTÉSICO LOCAL                                                                                    ,BISN.                                                  ,MEDICAMENTOS                                      ,10202,LIDOCAINA 2% GEL TOPICO - 30G                                                                                                                                                                                                                             ,30127,0,0
6,Us 126 CS Ver Romildo Gomes                                                                         ,ANESTÉSICO LOCAL                                                                                    ,FR/AMP                                                 ,MEDICAMENTOS                                      ,10207,LIDOCAINA 2% SEM VASOCONSTRICTOR SOLUCAO INJETAVEL - 20ML                                                                                                                                                                                                 ,30213,0,0
6,Us 126 CS Ver Romildo Gomes                                                                         ,ANSIOLÍTICO (BENZODIAZEPÍNICO)                                                                      ,AMP                                                    ,MEDICAMENTOS                                      ,10097,DIAZEPAM 5MG/ML SOLUCAO INJETAVEL - 2ML                                                                                                                                                                                                                   ,30218,0,0
6,Us 126 CS Ver Romildo Gomes                                                                         ,ANSIOLÍTICO (BENZODIAZEPÍNICO)                                                                      ,COMPR                                                  ,MEDICAMENTOS                                      ,10096,DIAZEPAM 10MG                                                                                                                                                                                                                                             ,30217,20,0
